"","date","max","min","ave","day","temperature","col_sin","col_ave","col_min","col_max","row","col"
"25",2020-11-18,14.5,8.9,11.8,25,9.31643211734794,"9-14","9-14","4-9","14-19",2,11
"26",2020-11-19,10.6,4.6,8.3,26,5.01938686104816,"4-9","4-9","4-9","9-14",2,12
"27",2020-11-20,10.8,3.7,7.9,27,4.1654823197122,"4-9","4-9","0-4","9-14",2,13
"28",2020-11-21,11.3,9.6,10.4,28,9.70430079708322,"9-14","9-14","9-14","9-14",2,14
"29",2020-11-22,11.1,6.2,8.4,29,6.48065545577993,"4-9","4-9","4-9","9-14",3,1
"30",2020-11-23,11.6,5.6,8.6,30,5.91999047304332,"4-9","4-9","4-9","9-14",3,2
"31",2020-11-24,12.5,10.6,11.3,31,10.6940879069975,"9-14","9-14","9-14","9-14",3,3
"32",2020-11-25,12.2,3.4,8.7,32,3.80341290858198,"0-4","4-9","0-4","9-14",3,4
"33",2020-11-26,8.7,0.5,3.8,33,0.846860951225322,"0-4","0-4","0-4","4-9",3,5
"34",2020-11-27,5,-1.8,1.5,34,-1.53551925951304,"<0","0-4","<0","4-9",3,6
"35",2020-11-28,9.3,5,7.4,35,5.1531906061851,"4-9","4-9","4-9","9-14",3,7
"36",2020-11-29,8.7,5.7,7.1,36,5.79748673197451,"4-9","4-9","4-9","4-9",3,8
"37",2020-11-30,10.7,5.8,8.3,37,5.9445731477448,"4-9","4-9","4-9","9-14",3,9
"38",2020-12-01,7.5,3.3,6,38,3.41194702511945,"0-4","4-9","0-4","4-9",3,10
"39",2020-12-02,8.7,4.9,6.4,39,4.99098877846589,"4-9","4-9","4-9","4-9",3,11
"40",2020-12-03,6.3,3.2,5.1,40,3.26626751182274,"0-4","4-9","0-4","4-9",3,12
"41",2020-12-04,6.7,3.2,4.7,41,3.26632997931937,"0-4","4-9","0-4","4-9",3,13
"42",2020-12-05,7.2,2,4.3,42,2.08668169017627,"0-4","4-9","0-4","4-9",3,14
"43",2020-12-06,5.6,1.2,4.2,43,1.26393946246498,"0-4","4-9","0-4","4-9",4,1
"44",2020-12-07,4.8,-0.1,2.7,44,-0.038561446689444,"<0","0-4","<0","4-9",4,2
"45",2020-12-08,6.9,0.2,4.5,45,0.271626366312783,"0-4","4-9","0-4","4-9",4,3
"46",2020-12-09,7.3,3.8,5.6,46,3.83145909590913,"0-4","4-9","0-4","4-9",4,4
"47",2020-12-10,9.1,7.1,8,47,7.11486483895374,"4-9","4-9","4-9","9-14",4,5
"48",2020-12-11,9.6,7.6,8.7,48,7.61204657017841,"4-9","4-9","4-9","9-14",4,6
"49",2020-12-12,9.2,3.5,7,49,3.52713957987078,"0-4","4-9","0-4","9-14",4,7
"50",2020-12-13,12.2,3.6,8.7,50,3.63136359465706,"0-4","4-9","0-4","9-14",4,8
"51",2020-12-14,11.5,8.1,10,51,8.10911341627026,"4-9","9-14","4-9","9-14",4,9
"52",2020-12-15,11,6.3,8.2,52,6.30875176936529,"4-9","4-9","4-9","9-14",4,10
"53",2020-12-16,10.2,5.9,8.5,53,5.90512628605573,"4-9","4-9","4-9","9-14",4,11
"54",2020-12-17,11.7,6,9.2,54,6.0038238964664,"4-9","9-14","4-9","9-14",4,12
"55",2020-12-18,12.7,11.5,12.2,55,11.5003579988231,"9-14","9-14","9-14","9-14",4,13
"56",2020-12-19,11.7,7.7,9.7,56,7.70029876204535,"4-9","9-14","4-9","9-14",4,14
"57",2020-12-20,9.7,6.1,7.3,57,6.10000000050046,"4-9","4-9","4-9","9-14",5,1
"58",2020-12-21,13.2,6.8,11.2,58,6.80047541433225,"4-9","9-14","4-9","9-14",5,2
"59",2020-12-22,12.1,7.9,9.4,59,7.90124957740597,"4-9","9-14","4-9","9-14",5,3
"60",2020-12-23,11.8,5.1,9.5,60,5.10448657760477,"4-9","9-14","4-9","9-14",5,4
"61",2020-12-24,6.6,1.7,4.3,61,1.70583361009597,"0-4","4-9","0-4","4-9",5,5
"62",2020-12-25,5,0.3,2.7,62,0.308742215746028,"0-4","0-4","0-4","4-9",5,6
"63",2020-12-26,10.1,3.8,8,63,3.81687126556434,"0-4","4-9","0-4","9-14",5,7
"64",2020-12-27,9.3,2.8,5.6,64,2.82368656708898,"0-4","4-9","0-4","9-14",5,8
"65",2020-12-28,2.8,0.1,1.9,65,0.112846826271293,"0-4","0-4","0-4","0-4",5,9
"66",2020-12-29,4.9,0,1.9,66,0.0294962184959763,"0-4","0-4","0-4","4-9",5,10
"67",2020-12-30,4.8,0.5,2.7,67,0.531941987726751,"0-4","0-4","0-4","4-9",5,11
"68",2020-12-31,4.1,-2,0.5,68,-1.94519843869554,"<0","0-4","<0","4-9",5,12
"69",2021-01-01,3.7,-3.9,1.1,69,-3.8187890388496,"<0","0-4","<0","0-4",5,13
"70",2021-01-02,3.8,0.1,1.8,70,0.146372962162072,"0-4","0-4","0-4","0-4",5,14
"71",2021-01-03,3.7,0.8,2.6,71,0.842125552912943,"0-4","0-4","0-4","0-4",6,1
"72",2021-01-04,4.4,1.7,3.1,72,1.74499149903978,"0-4","0-4","0-4","4-9",6,2
"73",2021-01-05,4.4,1.3,2.5,73,1.35872947664847,"0-4","0-4","0-4","4-9",6,3
"74",2021-01-06,2.9,-0.7,1.7,74,-0.623068734823861,"<0","0-4","<0","0-4",6,4
"75",2021-01-07,0.4,-2.8,-1,75,-2.7234009409794,"<0","<0","<0","0-4",6,5
"76",2021-01-08,2.1,0.3,1.5,76,0.347963623858219,"0-4","0-4","0-4","0-4",6,6
"77",2021-01-09,1.8,-0.2,0.8,77,-0.141006512134326,"<0","0-4","<0","0-4",6,7
"78",2021-01-10,6.2,-0.6,3,78,-0.379086935212573,"<0","0-4","<0","4-9",6,8
"79",2021-01-11,8.7,5.9,7.4,79,5.99972754715535,"4-9","4-9","4-9","4-9",6,9
"80",2021-01-12,9.6,5.7,7.9,80,5.85165192345466,"4-9","4-9","4-9","9-14",6,10
"81",2021-01-13,9.6,5.7,8.6,81,5.86493343372992,"4-9","4-9","4-9","9-14",6,11
"82",2021-01-14,10.2,2.9,7.9,82,3.23457734364343,"0-4","4-9","0-4","9-14",6,12
"83",2021-01-15,3.1,0.2,1.6,83,0.343578187028675,"0-4","0-4","0-4","0-4",6,13
"84",2021-01-16,9.7,3.1,7.1,84,3.45191958294136,"0-4","4-9","0-4","9-14",6,14
"85",2021-01-17,7.1,4.4,6,85,4.55461729555022,"4-9","4-9","4-9","4-9",7,1
"86",2021-01-18,10.3,4.8,6.9,86,5.13738150968963,"4-9","4-9","4-9","9-14",7,2
"87",2021-01-19,11.3,9.2,10.3,87,9.33765335638466,"9-14","9-14","9-14","9-14",7,3
"88",2021-01-20,11.5,3.8,10,88,4.33812054821227,"4-9","9-14","0-4","9-14",7,4
"89",2021-01-21,7.2,2.8,4.9,89,3.12714222230665,"0-4","4-9","0-4","4-9",7,5
"90",2021-01-22,7.4,1.2,3.4,90,1.68944068418924,"0-4","0-4","0-4","4-9",7,6
"91",2021-01-23,5.2,-0.4,1.7,91,0.0684906225782315,"0-4","0-4","<0","4-9",7,7
"92",2021-01-24,4.4,-0.7,1.5,92,-0.248649584957807,"<0","0-4","<0","4-9",7,8
"93",2021-01-25,5.8,-2.4,1.6,93,-1.63359742740607,"<0","0-4","<0","4-9",7,9
"94",2021-01-26,9,1.2,5,94,1.96867831398578,"0-4","4-9","0-4","4-9",7,10
"95",2021-01-27,10,8.1,9.1,95,8.29713048467181,"4-9","9-14","4-9","9-14",7,11
"96",2021-01-28,11.2,9.6,10.5,96,9.77452053177745,"9-14","9-14","9-14","9-14",7,12
"97",2021-01-29,10.6,7.2,8.8,97,7.58934846039909,"4-9","4-9","4-9","9-14",7,13
"98",2021-01-30,7.2,3.1,4.8,98,3.59227891582412,"0-4","4-9","0-4","4-9",7,14
"99",2021-01-31,3.2,0,1.4,99,0.4023520102447,"0-4","0-4","0-4","0-4",8,1
